mean_iki_ms,variance_iki,burstiness,total_keys,backspace_rate,backspaces,distance_px,click_rate_per_sec,mouse_clicks,idle_time_ms
1734.45625,32841724.973085854,18934.88231431946,481,0.1704781704781705,82,542,3.501973017128179e-08,323,9223372036854
1836.8672199170123,38052312.92427817,20715.875655942804,483,0.16977225672877846,82,543,3.5128150388530344e-08,324,9223372036854
1791.9617706237425,36971102.1856614,20631.635558158458,498,0.1646586345381526,82,543,3.5128150388530344e-08,324,9223372036854
1783.9521912350597,36618772.71484572,20526.767978851458,503,0.16302186878727634,82,543,3.5128150388530344e-08,324,9223372036854
1732.6576923076923,35427471.35974846,20446.89583928336,521,0.16314779270633398,85,543,3.5128150388530344e-08,324,9223372036854
1690.3376865671642,34431650.018430315,20369.687247733385,537,0.17318435754189945,93,543,3.5128150388530344e-08,324,9223372036854
1663.628205128205,33839613.739057794,20340.85117981634,547,0.170018281535649,93,544,3.5128150388530344e-08,324,9223372036854
0.0,0.0,0.0,20,0.0,0,0,0.0,0,3447547
1663.628205128205,33839613.739057794,20340.85117981634,547,0.170018281535649,93,544,3.5128150388530344e-08,324,9223372036854
1663.628205128205,33839613.739057794,20340.85117981634,547,0.170018281535649,93,546,3.5128150388530344e-08,324,9223372036854
0.0,0.0,0.0,20,0.0,0,0,0.0,0,3456388
1663.628205128205,33839613.739057794,20340.85117981634,547,0.170018281535649,93,548,3.5344990823027445e-08,326,9223372036854
1663.628205128205,33839613.739057794,20340.85117981634,547,0.170018281535649,93,548,3.5344990823027445e-08,326,9223372036854
1663.628205128205,33839613.739057794,20340.85117981634,547,0.170018281535649,93,548,3.5344990823027445e-08,326,9223372036854
1663.628205128205,33839613.739057794,20340.85117981634,547,0.170018281535649,93,553,3.5778671692021646e-08,330,9223372036854
1663.628205128205,33839613.739057794,20340.85117981634,547,0.170018281535649,93,558,3.58870919092702e-08,331,9223372036854
1729.0836363636363,36446927.35664133,21078.753271467736,551,0.16878402903811252,93,559,3.61039323437673e-08,333,9223372036854
1715.3273381294964,36072268.55831751,21029.378915894293,557,0.16696588868940754,93,560,3.61039323437673e-08,333,9223372036854
1715.3273381294964,36072268.55831751,21029.378915894293,557,0.16696588868940754,93,561,3.61039323437673e-08,333,9223372036854
1715.3273381294964,36072268.55831751,21029.378915894293,557,0.16696588868940754,93,562,3.61039323437673e-08,333,9223372036854
1741.3967684021543,36385372.90361607,20894.361103588148,558,0.16666666666666666,93,563,3.63207727782644e-08,335,9223372036854
1741.3967684021543,36385372.90361607,20894.361103588148,558,0.16666666666666666,93,563,3.63207727782644e-08,335,9223372036854
1741.3967684021543,36385372.90361607,20894.361103588148,558,0.16666666666666666,93,563,3.63207727782644e-08,335,9223372036854
1741.3967684021543,36385372.90361607,20894.361103588148,558,0.16666666666666666,93,566,3.63207727782644e-08,335,9223372036854
1741.3967684021543,36385372.90361607,20894.361103588148,558,0.16666666666666666,93,568,3.65376132127615e-08,337,9223372036854
1748.5508771929824,36330754.7561835,20777.636630457495,571,0.1628721541155867,93,568,3.65376132127615e-08,337,9223372036854
1736.3229166666667,35968487.378363766,20715.321460719322,577,0.1611785095320624,93,569,3.65376132127615e-08,337,9223372036854
1736.3229166666667,35968487.378363766,20715.321460719322,577,0.1611785095320624,93,573,3.686287386450715e-08,340,9223372036854
1740.8726333907057,35784392.5138982,20555.43399760428,582,0.15979381443298968,93,573,3.69712940817557e-08,341,9223372036854
1746.8780068728522,35743860.78408675,20461.566659753815,583,0.16123499142367068,94,577,3.71881345162528e-08,343,9223372036854
1743.9027303754267,35502444.52808123,20358.041712818627,587,0.16695059625212946,98,579,3.8055496254241206e-08,351,9223372036854
1742.664395229983,35442861.97765921,20338.31762138099,588,0.1683673469387755,99,580,3.8272336688738307e-08,353,9223372036854
1742.664395229983,35442861.97765921,20338.31762138099,588,0.1683673469387755,99,581,3.8272336688738307e-08,353,9223372036854
1742.664395229983,35442861.97765921,20338.31762138099,588,0.1683673469387755,99,581,3.8272336688738307e-08,353,9223372036854
1772.2755102040817,35897277.24382202,20254.907906326804,589,0.16808149405772496,99,583,3.848917712323541e-08,355,9223372036854
1772.9457627118645,35777702.26485479,20179.806408815286,591,0.17089678510998307,101,584,3.892285799222961e-08,359,9223372036854
1770.885521885522,35538694.296659075,20068.31828339746,595,0.17647058823529413,105,586,3.946495907847236e-08,364,9223372036854
1764.8547579298831,35257613.43299483,19977.628909446834,600,0.175,105,586,3.957337929572091e-08,365,9223372036854
1741.7803278688525,34659712.54518692,19899.01481296132,611,0.176759410801964,108,586,3.957337929572091e-08,365,9223372036854
1733.2328990228013,34445274.16237033,19873.425078528464,615,0.17560975609756097,108,587,3.957337929572091e-08,365,9223372036854
1733.2328990228013,34445274.16237033,19873.425078528464,615,0.17560975609756097,108,589,3.968179951296946e-08,366,9223372036854
1726.7900641025642,34113699.111375555,19755.55675269935,625,0.1888,118,590,3.979021973021801e-08,367,9223372036854
